Unnamed: 0,local_ID,run_name,pred_steps,fin_inputs_params_dict_financial_value_scaling,senti_inputs_params_dict_topic_qty,senti_inputs_params_dict_topic_model_alpha,senti_inputs_params_dict_relative_halflife,senti_inputs_params_dict_apply_IDF,senti_inputs_params_dict_topic_weight_square_factor,model_hyper_params_estimator__hidden_layer_sizes,model_hyper_params_general_adjusting_square_factor,model_hyper_params_estimator__alpha,model_hyper_params_lookbacks,validation_bets_with_confidence_proportion_sX_c0,validation_bets_with_confidence_proportion_sX_c0.01,validation_bets_with_confidence_proportion_sX_c0.02,validation_bets_with_confidence_proportion_sX_c0.035,validation_bets_with_confidence_proportion_sX_c0.05,validation_bets_with_confidence_proportion_sX_c0.1,validation_x_mins_PC_sX_c0,validation_x_mins_PC_sX_c0.01,validation_x_mins_PC_sX_c0.02,validation_x_mins_PC_sX_c0.035,validation_x_mins_PC_sX_c0.05,validation_x_mins_PC_sX_c0.1,validation_x_mins_score_sX_c0,validation_x_mins_score_sX_c0.01,validation_x_mins_score_sX_c0.02,validation_x_mins_score_sX_c0.035,validation_x_mins_score_sX_c0.05,validation_x_mins_score_sX_c0.1,validation_x_mins_weighted_sX_c0,validation_x_mins_weighted_sX_c0.01,validation_x_mins_weighted_sX_c0.02,validation_x_mins_weighted_sX_c0.035,validation_x_mins_weighted_sX_c0.05,validation_x_mins_weighted_sX_c0.1,testing_bets_with_confidence_proportion_sX_c0,testing_bets_with_confidence_proportion_sX_c0.01,testing_bets_with_confidence_proportion_sX_c0.02,testing_bets_with_confidence_proportion_sX_c0.035,testing_bets_with_confidence_proportion_sX_c0.05,testing_bets_with_confidence_proportion_sX_c0.1,testing_x_mins_PC_sX_c0,testing_x_mins_PC_sX_c0.01,testing_x_mins_PC_sX_c0.02,testing_x_mins_PC_sX_c0.035,testing_x_mins_PC_sX_c0.05,testing_x_mins_PC_sX_c0.1,testing_x_mins_score_sX_c0,testing_x_mins_score_sX_c0.01,testing_x_mins_score_sX_c0.02,testing_x_mins_score_sX_c0.035,testing_x_mins_score_sX_c0.05,testing_x_mins_score_sX_c0.1,testing_x_mins_weighted_sX_c0,testing_x_mins_weighted_sX_c0.01,testing_x_mins_weighted_sX_c0.02,testing_x_mins_weighted_sX_c0.035,testing_x_mins_weighted_sX_c0.05,testing_x_mins_weighted_sX_c0.1,experiment_timestamp,training_r2,training_mse,training_mae,validation_r2,validation_mse,validation_mae,testing_r2,testing_mse,testing_mae,profitability,predictor_names
0,0,no_topics_steps_15_removal_1e+00parallel_run_7_1.csv,15,1,1,7.0,25200,0,4,3,3,1e-11,15,1.0,1.0,1.0,0.9999444312137811,0.9998015400492181,0.8189886480908154,0.48492729415344166,0.48492729415344166,0.48492729415344166,0.48489924390736283,0.48489061332328387,0.4941336786963452,-0.00013460978419244533,-0.00013460978419244533,-0.00013460978419244533,-0.00013494990878793687,-0.00013585483764822894,0.00022589540339850296,0.00011581480657458331,0.00012521010406012144,0.00013601755081687128,0.00015631412615397418,0.00018610873814471247,0.0009897103469682607,1.0,1.0,1.0,1.0,1.0,1.0,0.5447328077091547,0.5447328077091547,0.5447328077091547,0.5447328077091547,0.5447328077091547,0.5447328077091547,0.00027806009417011344,0.00027806009417011344,0.00027806009417011344,0.00027806009417011344,0.00027806009417011344,0.00027806009417011344,0.00023230336033066285,0.0002293693377229932,0.0002260332626335953,0.0002200738182295425,0.00021257250310888779,0.0001629247495285111,03/01/24 01:06:25,0.29296010193716066,0.10736020723425663,0.30306434994584375,-4.069022553542132,0.13451353144480568,0.33890674756006456,-0.5569155188216133,0.028163675562390505,0.1656761188614042,,b527cca3bd6f9b9c0208960a781ca8868b454fda45c215d75cbee80e34ecd471
1,1,no_topics_steps_15_removal_1e+00parallel_run_7_1.csv,15,2,1,13.0,900,0,4,4,2,1e-10,15,1.0,0.20977401724402017,0.09981111350152136,0.05919893257333313,0.040721476914246046,0.018910252584971633,0.7311286710197284,0.9365920916788048,0.9789645536172745,0.9969870772688033,0.9996941896024465,1.0,0.009083206542912042,0.03763200504653932,0.06155797599738888,0.08646852677790946,0.10692438477381705,0.1493553105563067,0.06430098096263911,0.10097244255652897,0.11822441576232685,0.13406924834250816,0.1458740121559773,0.17534448946105938,1.0,0.08955979940225926,0.043260219847018895,0.020465022035357886,0.008358239197609037,0.0,0.7237728585178056,0.9875565610859729,0.9988290398126464,1.0,1.0,0.0,0.00436099260782106,0.02631775420635101,0.039345437761766223,0.05253921055963598,0.06891217220809695,0.0,0.02159326921009875,0.04602269990285403,0.055344018412063656,0.06879053156065729,0.07994807994176693,0.0,03/01/24 01:13:17,-0.026563495517797665,0.0007046538237931463,0.010608756532972687,-0.01907021514907172,0.0007044873471235335,0.010429463197241412,-0.022163669348546744,0.00010333333706116887,0.004877821203388175,,d3da3cb60fbaaca0ec93b663f235b4aff38fa50be043d70d0664e53330972e50
2,2,no_topics_steps_15_removal_1e+00parallel_run_7_1.csv,15,2,1,0.3,25200,0,1,5,1,1e-09,15,1.0,0.16643934699877333,0.08808017866844917,0.0578661928739209,0.040227430380116204,0.01870170973954324,0.7513055270320816,0.9704381390882688,0.9951188595706546,0.9997562461913467,1.0,1.0,0.009342966296766321,0.043190651133331474,0.06706413943950577,0.08795786342580225,0.10767762283095983,0.15004256496802465,0.0696153531011406,0.10629260796089594,0.12069436855733148,0.1351906087787429,0.14681983938344584,0.1755955343382027,1.0,0.08454485588369383,0.042956283876196745,0.021174205967276226,0.00851020718302011,0.0,0.7387670330783648,0.9904134212103056,1.0,1.0,1.0,0.0,0.00459640535856666,0.027454623722251475,0.039605028787725746,0.05214979606722671,0.06825503776866594,0.0,0.022787166831498076,0.04678670223172999,0.05545788183204654,0.06832253077655374,0.07992568029629281,0.0,03/01/24 01:20:31,-0.004441778638596139,0.0006907889143341773,0.009848694845616715,-0.005408430211048332,0.000691043713921149,0.009845854759271373,-0.009088050690875926,0.00010201148680317885,0.004730473188022334,,3efebda6a00f7d408abb09ec1b2f77353e0a3bc516d4a6f79ce1d388f6c48071
3,3,no_topics_steps_15_removal_1e+00parallel_run_7_1.csv,15,2,1,2.0,180,0,4,1,0,1e-08,15,1.0,0.15167607146692297,0.08465694501088095,0.05698450171874464,0.040528872693932974,0.01894924702875622,0.7238449797514048,0.9739140495335212,0.9963860603167106,0.9997565429093122,1.0,1.0,0.009152391209470015,0.04565634413087042,0.06854272153160884,0.08862002627050206,0.10716311897228244,0.14914607278741954,0.07072624242600882,0.10771665693731916,0.12101468142017206,0.1347668856557545,0.1462234821678217,0.1748665786485722,1.0,0.07998581632136163,0.04214578795400436,0.021022237981865154,0.00861151917329416,0.00020262398054809788,0.7214426827415025,0.9917669411019633,1.0,1.0,1.0,1.0,0.004533057863198229,0.028195619254764697,0.039897657015668546,0.05192463405899498,0.06814002320750456,0.09606740712865902,0.022844680355163093,0.04729030704408644,0.05571572269013886,0.068459436569731,0.07991735237528702,0.09526217895181828,03/01/24 01:27:10,-0.012042802479109715,0.0006960469551952309,0.010191622928192118,-0.012880672775838774,0.000695993925487974,0.010184806741585294,-0.02724613584931479,0.00010384713758037603,0.0049244457745670185,,9a807c4b8afa0ee05053e777b9649adc17b842009a51c8db244bd53c11899104
4,4,no_topics_steps_15_removal_1e+00parallel_run_7_1.csv,15,1,1,7.0,900,1,1,4,0,1e-07,25,1.0,0.0284730979072834,0.0043649695872227945,0.0003118724087611394,7.594194676124142e-05,8.528057308545113e-06,0.5268099322589533,0.6920021330847484,0.5496257146825633,0.4988888888888889,0.55,0.2,0.0006818360138333382,0.00814590225681817,0.010899150987798529,0.014509709980923121,0.03302609067184264,0.035388284960422164,0.0025217214435733497,0.014621002503224229,0.025618182916091158,0.03271266081394174,0.03268247068121684,0.035388284960422164,1.0,0.00479840833284569,0.0007022060974896132,0.0,0.0,0.0,0.5278249166130259,0.5853658536585366,0.6666666666666666,0.0,0.0,0.0,0.0005509375205021319,0.0021921533648514447,0.0035946706349983815,0.0,0.0,0.0,0.001346201900946577,0.0020758211417057832,0.0052305925901197006,0.0,0.0,0.0,03/01/24 01:35:27,0.9942536612142975,0.0007626091844004475,0.011377794325919085,0.9640516266974888,0.0007491349282086172,0.010719285342014492,0.9935564139935189,0.00011663972165292182,0.005239614801580165,,ef149ced5a4d81ec4daecb004cb060210165ab4636d42c346c46a504fa981061
5,5,no_topics_steps_15_removal_1e+00parallel_run_7_1.csv,15,2,1,3.0,180,1,2,5,0,1e-11,40,1.0,0.18286479251450688,0.1025462360998816,0.06885431308220333,0.04887197792814506,0.02247229092927159,0.7563983142963076,0.9629446947851232,0.9939932645912191,0.9995362903860736,1.0,1.0,0.010377924599086524,0.045596762998007176,0.06864920388244793,0.08874319079857321,0.10738576646986493,0.14965467394945303,0.07429776807229252,0.10740957193885277,0.12091326250324123,0.13492799109646983,0.1463679856226629,0.17525026799151114,1.0,0.09865796155241205,0.05156571152218595,0.024845846935074356,0.01051867972433805,0.0,0.7494861564502479,0.9895833333333334,1.0,1.0,1.0,0.0,0.0047769457191543995,0.027573277996066823,0.03914903491857527,0.05209762390490657,0.06756949808998991,0.0,0.023730101012074036,0.046290702968159084,0.05468276810183619,0.06692214468177338,0.07623747000160278,0.0,03/01/24 04:22:44,-0.0060218647606749,0.0008239447272853629,0.010923442619203376,-0.0060869105562240565,0.0008241018536933688,0.010952630180463658,-0.011057226472776405,0.00011811123418014608,0.005081859050376047,,de5dd4d2bc2052a9e4ebd50c93855229be75877595113b546f3afda500f481f9
6,6,no_topics_steps_15_removal_1e+00parallel_run_7_1.csv,15,2,1,0.3,7200,0,1,1,1,1e-10,25,1.0,0.15742567071430136,0.08865868082651954,0.060700483570396216,0.04348795589170554,0.020208164997446966,0.7514159470975766,0.9749050558240739,0.997090561553903,1.0,1.0,1.0,0.009824766343745864,0.04705497615919932,0.06997248320375335,0.08915881573123452,0.10755356292756699,0.14970435216097994,0.07393024129900785,0.10862199483740795,0.12153411988849458,0.13521856426384865,0.14670667953918443,0.17529082824147957,1.0,0.09316938410703646,0.046313850820648934,0.023129841287037538,0.009262770164129788,0.0,0.742917501760468,0.9883720930232558,1.0,1.0,1.0,0.0,0.0045745977243615826,0.02681809031518208,0.03904512882940093,0.05121296121844741,0.06791609168730775,0.0,0.02281768921666433,0.045768680649202545,0.05453984333608625,0.06709436737334361,0.07745008919566077,0.0,03/01/24 05:44:44,-0.0057715909514399755,0.000739979679929804,0.010366411974948465,-0.006010920588095292,0.0007399997002883217,0.010374567925381571,-0.004391729596133986,0.00010791382191207443,0.004859629688144398,,c4b4debf41ff91c682c2807daa326399644ebc734e5c2e8d00da398f30d8cc27
7,7,no_topics_steps_15_removal_1e+00parallel_run_7_1.csv,15,1,1,1.0,25200,1,4,3,1,1e-09,40,1.0,0.055795560229916476,0.007114725112422092,0.0012631399513153498,0.0005277011586252526,1.8945139384760995e-05,0.5371121576196101,0.6862200766531643,0.62322409355909,0.3974057315233786,0.4084224598930481,0.4,0.0010419459390549634,0.008706050316256793,0.011938118913263471,0.006848521220498438,0.008149647502434725,0.035576039210969766,0.0028851095136503296,0.012606897187811578,0.01524449425037007,0.01833252980796078,0.030605359183258053,0.035576039210969766,1.0,1.0,1.0,1.0,1.0,0.999934725848564,0.5460182767624021,0.5460182767624021,0.5460182767624021,0.5460182767624021,0.5460182767624021,0.5460539199686664,0.0003339220012635718,0.0003339220012635718,0.0003339220012635718,0.0003339220012635718,0.0003339220012635718,0.0003350042552268413,0.0002653988155392394,0.00026118845087670813,0.00025642680669326647,0.00024798805589045046,0.0002374868613466343,0.00017115687058542203,03/01/24 07:28:42,0.9935984888810016,0.0008552016547030619,0.01211163531420833,0.9590598241496334,0.0008482206565322137,0.011890302537782522,-0.733259017435923,0.03141131404399043,0.17246024014446482,,5754f2f03c160af09c1f87ede6c057c12e8b4776001b99d78e46c3b50a440468
8,8,no_topics_steps_15_removal_1e+00parallel_run_7_1.csv,15,2,1,0.3,25200,0,4,0,2,1e-08,20,1.0,0.15072052626691293,0.08591778038337275,0.058454476633583094,0.04155900316490306,0.01944447914537605,0.7317170920617009,0.9742897227436786,0.9967415415232876,1.0,1.0,1.0,0.00957133480522693,0.04698301523449887,0.06961804663764988,0.08930415741610248,0.10790401450033871,0.1496336522538005,0.07256098740387844,0.10882627364543777,0.12180773355404699,0.13542323240759765,0.1468659202674774,0.17504057023854047,1.0,0.12727082351709335,0.04947384953667347,0.021098371812994083,0.009109470708339878,0.0001047065598659756,0.6849379613632794,0.9568078979843686,0.9925925925925926,1.0,1.0,1.0,0.004058108544901057,0.020584682839553222,0.03654489956548165,0.05162382303040931,0.06753030522529613,0.0896613032204241,0.018260641490023904,0.041683603294197694,0.052893743466010966,0.06625056657821435,0.07669874907816088,0.08932907847055804,03/01/24 08:42:49,-0.009465809078797172,0.0007180394971678198,0.010297604739392242,-0.011638645321791551,0.0007173387186989252,0.010302747007832031,-0.10828495909806657,0.00011550552153226514,0.005757376195543373,,682b42d33cbae97a97419f197bdee5ce161ca26b7c0656001a3e2d8ef4d3821c
9,9,no_topics_steps_15_removal_1e+00parallel_run_7_1.csv,15,2,1,7.0,7200,0,4,3,1,1e-07,40,1.0,0.19067339007067674,0.10709367478164969,0.06980986016317657,0.048935228251897306,0.02264785448982688,0.7662587562489448,0.9664836637777888,0.9941148611434473,0.9996602491506229,1.0,1.0,0.010446064640181534,0.0444625706412161,0.06689578320361453,0.08813641261239687,0.10734095773240322,0.14934866246387962,0.07330300397505138,0.10614869616670708,0.12019477451746197,0.13459032945009813,0.1460873746967984,0.17517503378300703,1.0,0.11709587716116551,0.053077016080280495,0.02623624712852134,0.010639584088985613,0.00012090436464756378,0.7373352678031677,0.9845121321631388,1.0,1.0,1.0,1.0,0.0045129372408527525,0.024696161421488536,0.03880834845000675,0.051309453619176174,0.06767157662811175,0.08543901589522096,0.021934299986265525,0.04491405429402431,0.05441129824742153,0.06623039647040638,0.07660235857667318,0.0859041205075015,03/01/24 08:56:33,-0.0020212782012704713,0.0008206582856621902,0.010763553603649232,-0.0026434149112022354,0.000820364238375444,0.010776648822386362,-0.023783573084809273,0.00011959792006260142,0.005201459863280721,,e283540a36aa1f233eef598192b6f0255d50f6d97bc9025f4bb7a252f023e771
10,10,no_topics_steps_15_removal_1e+00parallel_run_7_1.csv,15,2,1,5.0,180,1,4,4,2,1e-11,10,1.0,0.16854925660620104,0.08785676937237226,0.056196189422452136,0.039483849330078334,0.018246329214670915,0.7494024339627998,0.9690534044339415,0.995195139747322,0.9995351539802441,1.0,1.0,0.009290037915290887,0.04143614961133792,0.06565510260408577,0.08765294044368434,0.10677931633661167,0.14942337550712098,0.06799505007019589,0.10482970097339632,0.11975233828385337,0.13454587200034385,0.1462129678647769,0.1753760902860166,1.0,0.09480347416458118,0.04313263653761225,0.01948083811767015,0.008243780362137495,0.0,0.7213798518082339,0.9772256728778468,0.9988623435722411,1.0,1.0,0.0,0.004236801757514697,0.024746536849497024,0.0387158501071351,0.05255385529650641,0.06881858440432465,0.0,0.020224596574815852,0.045197468948711066,0.05553078189673145,0.06926472648532965,0.08033575206051574,0.0,03/01/24 11:03:34,-0.003964084227424403,0.0006684782564495561,0.009612297685525076,-0.004364704286228438,0.0006689692753644924,0.00964054377381875,-0.04000928302355611,0.00010214000457065415,0.004925774221816172,,a6d0333d93a14f4fe83548616d448c6654e6521f6db6569a3f5908777b27b3f0
11,11,no_topics_steps_15_removal_1e+00parallel_run_7_1.csv,15,2,1,7.0,900,1,4,3,3,1e-10,8,1.0,0.17249129050321585,0.08869286576178773,0.0560669934625768,0.03889979248214377,0.018099851842388322,0.7563205374941292,0.9677351007024398,0.9938638808246629,0.9994331266940246,1.0,1.0,0.009232434600118657,0.040810295833215826,0.06483163495193468,0.08712655654427158,0.10685328982051519,0.14896244359750077,0.06712308667818512,0.10402368705929022,0.11931720465222259,0.13428419424320745,0.14593798075514708,0.1745907966637031,1.0,0.08868857225937772,0.041484927789085975,0.020694000193854804,0.008044974314238635,0.0,0.7519143161771833,0.9918032786885246,1.0,1.0,1.0,0.0,0.004471478831292676,0.026162849156106196,0.03955899830007282,0.05225866993442334,0.06931610645825523,0.0,0.02160126530780151,0.0463835801622667,0.05590942711824736,0.06911859941059907,0.0810580609562297,0.0,03/01/24 12:10:49,-0.0023932305393585818,0.0006591043051134936,0.009454376664546526,-0.0030304475979633814,0.0006592848258116516,0.0094648564079132,-0.0014856314091689082,9.729047320273837e-05,0.004531710528309651,,f140487aea6a9d57a7eff60fdd9047bc05dccbf738231421a07061a2dcbfe6fa
12,12,no_topics_steps_15_removal_1e+00parallel_run_7_1.csv,15,2,1,1.0,7200,0,2,4,3,1e-09,10,1.0,0.1726713768422986,0.08974427403769997,0.057032568030718045,0.03960306716887298,0.01824609733656051,0.7520034636903115,0.9678000979109811,0.9933449262005146,1.0,1.0,1.0,0.009320275503429613,0.0416315237820018,0.06500188298204736,0.08703225369259636,0.10667660487561122,0.14913568355394866,0.06777979521591813,0.10413924937241656,0.11934009295484127,0.1343208374678645,0.14599801655386013,0.17456986959498186,1.0,0.08729574562049168,0.041660532901516265,0.02100201187496933,0.008292850483340693,0.0,0.7470435251975073,0.9926925238898258,1.0,1.0,1.0,0.0,0.004493867231131766,0.026553041186481025,0.03966849470983024,0.0522527651253676,0.06881819101606446,0.0,0.021967422214059756,0.04670758171790902,0.05596062674867131,0.0691390839350616,0.08108476062857667,0.0,03/01/24 13:31:14,-0.00383271195818522,0.0006686964417796472,0.009611703645184173,-0.0041781388541803025,0.0006672268596683024,0.009553194748045914,-0.0031706835765659136,9.852206117600193e-05,0.004587553402496826,,d0685ccdc0da4034950fd0bf014fa3a37db536ec5d7f8883b7880013bc153272
13,13,no_topics_steps_15_removal_1e+00parallel_run_7_1.csv,15,2,1,0.3,180,1,4,1,0,1e-08,10,1.0,0.1589840415783597,0.08553984134036748,0.055710421558562394,0.03922255020556949,0.018201620587400043,0.7401799614249347,0.9705639704077178,0.9957599881873611,0.9995249406175771,1.0,1.0,0.00912487154175436,0.04345234386577751,0.0667326856328537,0.08805955353716362,0.1071193282603359,0.14923608000601052,0.06954899439680629,0.10611469226712893,0.12038074742677422,0.13475254769770645,0.1462939173483065,0.1745938817234595,1.0,0.08425339810589332,0.04156239265910987,0.020560380784140537,0.008047499877324697,0.0,0.7282987388978851,0.9918462434478742,1.0,1.0,1.0,0.0,0.004294991042139355,0.026937265095910264,0.03962607043577594,0.05235212267652063,0.06920522902378061,0.0,0.022527295511708813,0.04673486478535533,0.05563824413327575,0.06880586014626316,0.08115821758402064,0.0,03/01/24 14:36:54,-0.008153014100697265,0.0006713463259695227,0.009772030715019964,-0.008743125737614354,0.0006711074413406576,0.009757019445544263,-0.01839980978842415,0.00010001772380736233,0.004736375510766873,,6b8083d34b8e14f1ec41a6f53e12c3692a4a4ac2f03821ff2c8d52fbd6b589cc
14,14,no_topics_steps_15_removal_1e+00parallel_run_7_1.csv,15,1,1,1.0,180,0,4,1,2,1e-07,40,1.0,0.04029550386580949,0.005286591887878664,0.0009692044433319219,0.00031858251720575444,1.8945139384760995e-05,0.5393497682315178,0.7298898307062167,0.703315819227692,0.4759655377302436,0.5428571428571429,0.4,0.0009190904921080236,0.01039662982487199,0.017518637522124424,0.013469961294958355,0.040190677695916624,0.035576039210969766,0.0035688261274185646,0.016225564937321413,0.022832124180041873,0.029412540167781377,0.03827328275809995,0.035576039210969766,1.0,0.999934725848564,0.9996083550913838,0.9984986945169713,0.8231070496083551,0.0,0.5460182767624021,0.5460539199686664,0.5461016063732532,0.5465123880499444,0.5516256938937352,0.0,0.0003339220012635718,0.0003350042552268413,0.0003368316938215761,0.0003389490519856782,0.0003447023441411898,0.0,0.00030860822030848173,0.0003036672573164781,0.00029618196814288586,0.00027338896277216137,0.00015380220502990533,0.0,03/01/24 16:33:02,0.9936816734248829,0.0008428397988742359,0.011460175480105677,0.9596558843490186,0.0008400578288679225,0.011469325608631033,0.771172570027856,0.004146968336773685,0.062334091055899155,,58463579523600e5e9186ca66703bd2aed7dd081ce8c7593c467ff8b839f913b
15,15,no_topics_steps_15_removal_1e+00parallel_run_7_1.csv,15,2,1,3.0,25200,1,1,2,1,1e-11,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,no_topics_steps_15_removal_1e+00parallel_run_7_1.csv,15,2,1,7.0,7200,0,4,3,3,1e-10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,no_topics_steps_15_removal_1e+00parallel_run_7_1.csv,15,2,1,5.0,25200,0,4,2,3,1e-09,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,no_topics_steps_15_removal_1e+00parallel_run_7_1.csv,15,2,1,7.0,25200,1,4,2,0,1e-08,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,no_topics_steps_15_removal_1e+00parallel_run_7_1.csv,15,1,1,7.0,180,1,1,2,2,1e-07,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
